id_establecimiento,nom_estab,latitud,longitud,telefono,correoelec,web,radio
6231004,GIMNASIO 01 DE MAYO,28.04154922,-115.1923322,0,GABRIEL.MARTINEZ@ESSA.COM.MX,WWW.GOB.MX/ESSA,2
9783454,VANITY GYMENA,32.66663598,-115.4421256,6863930083,0,0,2
119417,MG FITNESS,32.51567741,-117.1198657,0,M.GFITNESS@YAHOO.COM,WWW.MGFITNESS-TIJ.COM,2
9049165,ACCESORIOS GYM TIME BOUTIQUE,32.48824132,-116.9963691,0,0,0,2
10988740,SUPLEMENTOS FITNESS,32.43380453,-116.9527437,6643612960,0,0,2
10081194,TFN THE FITNESS NETWORK,32.53360995,-117.114974,0,0,0,2
8370163,VENTA DE EQUIPOS PARA GYM,32.61702977,-115.5084085,0,0,0,2
10083578,CYBORGS GYM,32.2261707,-116.9195339,0,0,0,2
9463429,DANZARE DANCE STUDIO Y FITNESS,32.64057799,-115.38602,6861578615,0,0,2
11336753,ENTRAMGYM,32.52987087,-117.0318878,0,0,0,2
11561123,GIMNASIO BB,30.84579453,-116.0617447,0,0,0,2
90521,GIMNASIO DE BOX,32.65043332,-115.5211816,0,0,0,2
8362489,GIMNASIO DE TAEKWONDO,32.49847711,-116.8912383,6645483258,JULIETALIPEZMDK@LIVE.COM.MX,0,2
10095833,LETS MOVE DANCE AND FITNESS,32.64368092,-115.4509976,0,0,0,2
10576448,BABY GYM,32.43407715,-117.0194408,6645654595,0,0,2
76648,GYMBOREE,32.5329755,-117.1179345,6646809200,INFO@GYMBOPLAYASTJ.COM,WWW.KINDERGYMTIJUANAPLAYAS.COM,2
60961,GYMBOREE DESARROLLO DE MENTES JOVENES,32.51934482,-117.0254377,6646847505,GYMBOREETIJ@YAHOO.COM.MX,WWW.GYMBROREE.COM.MX,2
84102,GYMBORG,32.65292138,-115.3929326,0,MEXICALI@GYMBO.EDU.MX,0,2
83918,NEURO GYM,32.63944663,-115.4200115,0,INCLUCIONTA@GMAIL.COM,0,2
